company_name,year,reportDate,Net Revenue,Cost of Goods,Gross Margin,SGA,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Etsy,2018,2018-12-31,603693000,190762000,412931000,82883000,74786000,77491000,,680289000,901851000,112062000,500953000,400898000,901851000
Etsy,2019,2019-12-31,818379000,271036000,547343000,121134000,88761000,95894000,,921038000,1542352000,188528000,1135718000,406634000,1542352000
Etsy,2020,2020-12-31,1725625000,464745000,1260880000,156035000,424009000,349246000,,1894781000,2404489000,454664000,1662065000,742424000,2404489000
Etsy,2021,2021-12-31,2329114000,654512000,1674602000,282531000,465732000,493507000,,1341501000,3831809000,615588000,3203190000,628619000,3831809000
Etsy,2022,2022-12-31,2566111000,744592000,1821519000,312260000,-658560000,-694288000,,1513743000,2634961000,631755000,3182235000,-547274000,2634961000
Etsy,2023,2023-12-31,2748377000,828675000,1919702000,343242000,279841000,307568000,,1570446000,2685400000,710781000,3229115000,-543715000,2685400000
Etsy,2024,2024-12-31,2808332000,774554000,2033778000,353949000,380208000,303281000,,1327691000,2417782000,665113000,3176648000,-758866000,2417782000
eBay,2018,2018-12-31,8650000000,2023000000,6627000000,979000000,1752000000,2530000000,,7126000000,22819000000,4454000000,16538000000,6281000000,22819000000
eBay,2019,2019-12-31,7429000000,1585000000,5844000000,988000000,1770000000,1786000000,,4706000000,18174000000,4066000000,15304000000,2870000000,18174000000
eBay,2020,2020-12-31,8894000000,1797000000,7097000000,985000000,2636000000,5667000000,,7190000000,19310000000,4002000000,15749000000,3561000000,19310000000
eBay,2021,2021-12-31,10420000000,2650000000,7770000000,921000000,2923000000,13608000000,,9111000000,26626000000,4622000000,16848000000,9778000000,26626000000
eBay,2022,2022-12-31,9795000000,2680000000,7115000000,963000000,2350000000,-1269000000,,9290000000,20850000000,4271000000,15697000000,5153000000,20850000000
eBay,2023,2023-12-31,10112000000,2833000000,7279000000,1196000000,1941000000,2767000000,,11016000000,21620000000,4520000000,15224000000,6396000000,21620000000
eBay,2024,2024-12-31,10283000000,2880000000,7403000000,914000000,2318000000,1975000000,,7567000000,19365000000,6098000000,14207000000,5158000000,19365000000
The RealReal,2018,2018-12-31,213732000,76814000,136918000,63728000,-73904000,-75765000,10355000,89146000,135417000,88354000,98907000,-257690000,135417000
The RealReal,2019,2019-12-31,316354000,114831000,201523000,110663000,-100105000,-98429000,21916000,406756000,465247000,118546000,128002000,337245000,465247000
The RealReal,2020,2020-12-31,299949000,112382000,187567000,140652000,-172816000,-175832000,42321000,421469000,605109000,148260000,413816000,191293000,605109000
The RealReal,2021,2021-12-31,467692000,194215000,273477000,176246000,-214908000,-236107000,71015000,517812000,754944000,187986000,681816000,73128000,754944000
The RealReal,2022,2022-12-31,603493000,254802000,348691000,195342000,-189163000,-196445000,42967000,372258000,615641000,207513000,785733000,-170092000,615641000
The RealReal,2023,2023-12-31,549304000,173026000,376278000,183793000,-166293000,-168472000,22246000,235947000,446923000,188862000,750222000,-303299000,446923000
The RealReal,2024,2024-12-31,600484000,152963000,447521000,187737000,-56495000,-134202000,23583000,232669000,423095000,248676000,830471000,-407376000,423095000
Alibaba,2018,2018-03-31,39898000000,17065000000,22833000000,2589000000,11050000000,10218000000,,40949000000,114326000000,21651000000,44270000000,58320000000,114326000000
Alibaba,2019,2019-03-31,56152000000,30833000000,25319000000,3708000000,8506000000,13095000000,,40272000000,143801000000,30944000000,52104000000,73348000000,143801000000
Alibaba,2020,2020-03-31,71985000000,39878000000,32107000000,3982000000,12912000000,21104000000,,65377000000,185429000000,34159000000,61198000000,106683000000,185429000000
Alibaba,2021,2021-03-31,109480000000,64289000000,45191000000,8429000000,13688000000,22983000000,,98196000000,257978000000,57596000000,92583000000,143086000000,257978000000
Alibaba,2022,2022-03-31,134567000000,85096000000,49471000000,5036000000,10985000000,9820000000,,100726000000,267467000000,60540000000,96755000000,149619000000,267467000000
Alibaba,2023,2023-03-31,126491000000,80042000000,46449000000,6142000000,14612000000,10598000000,,101632000000,255263000000,56111000000,91753000000,144105000000,255263000000
Alibaba,2024,2024-03-31,130350000000,81205000000,49145000000,5815000000,15699000000,11081000000,,104270000000,244426000000,58378000000,90333000000,136635000000,244426000000
